"","lower","upper","mean","stdd"
"b0",3.19,5.49,4.44,0.45
"b1",0.79,1.36,1.06,0.11
"intercept[1]",-2.02,-0.23,-1.11,0.35
"intercept[2]",-2.62,-0.51,-1.52,0.42
"intercept[3]",-2.04,-0.21,-1.11,0.36
"intercept[4]",-2.29,-0.3,-1.25,0.38
"intercept[5]",-2.15,-0.2,-1.16,0.38
"intercept[6]",-2.16,-0.16,-1.13,0.39
"intercept[7]",-2.1,-0.23,-1.15,0.36
"intercept[8]",-2.07,-0.25,-1.12,0.36
"intercept[9]",-2.22,-0.38,-1.25,0.36
"intercept[10]",-2.27,-0.31,-1.27,0.38
"intercept[11]",-2.17,-0.36,-1.24,0.35
"intercept[12]",-2.19,-0.27,-1.21,0.37
"intercept[13]",-2.08,-0.25,-1.14,0.36
"intercept[14]",-2.19,-0.24,-1.2,0.38
"intercept[15]",-2.1,-0.25,-1.14,0.36
"intercept[16]",-2.3,-0.38,-1.31,0.37
"intercept[17]",-2.24,-0.35,-1.27,0.37
"intercept[18]",-2.29,-0.39,-1.32,0.37
"intercept[19]",-2.29,-0.4,-1.32,0.37
"intercept[20]",-2.47,-0.49,-1.43,0.39
"intercept[21]",-1.96,-0.14,-1.03,0.36
"intercept[22]",-2.39,-0.39,-1.34,0.39
"intercept[23]",-2.14,-0.3,-1.19,0.36
"intercept[24]",-2.07,-0.3,-1.17,0.35
"intercept[25]",-2.08,-0.32,-1.16,0.35
"intercept[26]",-2.31,-0.43,-1.31,0.37
"intercept[27]",-2.15,-0.29,-1.2,0.36
"intercept[28]",-2.13,-0.33,-1.19,0.35
"intercept[29]",-2.31,-0.41,-1.34,0.37
"intercept[30]",-2.24,-0.38,-1.28,0.36
"intercept[31]",-2.19,-0.37,-1.25,0.35
"intercept[32]",-2.11,-0.37,-1.21,0.34
"intercept[33]",-2.38,-0.45,-1.38,0.38
"intercept[34]",-2.22,-0.38,-1.27,0.36
"intercept[35]",-2.38,-0.41,-1.35,0.38
"intercept[36]",-2.1,-0.27,-1.17,0.36
"intercept[37]",-1.89,0.04,-0.9,0.38
"intercept[38]",-2.2,-0.35,-1.24,0.36
"intercept[39]",-2.03,-0.24,-1.1,0.35
"intercept[40]",-2.06,-0.12,-1.07,0.38
"intercept[41]",-2.18,-0.32,-1.22,0.36
"intercept[42]",-2.37,-0.42,-1.35,0.38
"intercept[43]",-2.37,-0.39,-1.32,0.39
"intercept[44]",-1.88,0.08,-0.88,0.39
"intercept[45]",-2.15,-0.24,-1.19,0.37
"intercept[46]",-2.4,-0.44,-1.36,0.38
"intercept[47]",-2.36,-0.34,-1.31,0.39
"intercept[48]",-2.19,-0.36,-1.24,0.36
"intercept[49]",-2.24,-0.36,-1.28,0.37
"intercept[50]",-2.25,-0.4,-1.28,0.36
"intercept[51]",-2.29,-0.39,-1.29,0.37
"intercept0",-2.12,-0.42,-1.23,0.33
"scaling[1]",0.28,0.49,0.38,0.04
"scaling[2]",0.23,0.46,0.34,0.04
"scaling[3]",0.28,0.48,0.38,0.04
"scaling[4]",0.25,0.47,0.36,0.04
"scaling[5]",0.26,0.48,0.37,0.04
"scaling[6]",0.27,0.49,0.37,0.04
"scaling[7]",0.27,0.48,0.37,0.04
"scaling[8]",0.27,0.48,0.37,0.04
"scaling[9]",0.26,0.47,0.36,0.04
"scaling[10]",0.25,0.47,0.36,0.04
"scaling[11]",0.26,0.47,0.36,0.04
"scaling[12]",0.26,0.48,0.36,0.04
"scaling[13]",0.27,0.48,0.37,0.04
"scaling[14]",0.26,0.48,0.37,0.04
"scaling[15]",0.27,0.48,0.37,0.04
"scaling[16]",0.26,0.47,0.36,0.04
"scaling[17]",0.25,0.47,0.36,0.04
"scaling[18]",0.25,0.46,0.35,0.04
"scaling[19]",0.25,0.47,0.36,0.04
"scaling[20]",0.24,0.46,0.35,0.04
"scaling[21]",0.28,0.49,0.38,0.04
"scaling[22]",0.24,0.46,0.35,0.04
"scaling[23]",0.27,0.48,0.37,0.04
"scaling[24]",0.27,0.48,0.37,0.04
"scaling[25]",0.27,0.47,0.37,0.04
"scaling[26]",0.25,0.47,0.36,0.04
"scaling[27]",0.26,0.47,0.37,0.04
"scaling[28]",0.26,0.47,0.36,0.04
"scaling[29]",0.24,0.47,0.35,0.04
"scaling[30]",0.25,0.47,0.36,0.04
"scaling[31]",0.26,0.47,0.36,0.04
"scaling[32]",0.28,0.48,0.38,0.04
"scaling[33]",0.24,0.47,0.35,0.04
"scaling[34]",0.26,0.47,0.36,0.04
"scaling[35]",0.24,0.47,0.35,0.04
"scaling[36]",0.27,0.48,0.37,0.04
"scaling[37]",0.28,0.5,0.39,0.04
"scaling[38]",0.26,0.47,0.36,0.04
"scaling[39]",0.27,0.48,0.37,0.04
"scaling[40]",0.27,0.49,0.38,0.04
"scaling[41]",0.26,0.48,0.36,0.04
"scaling[42]",0.24,0.46,0.35,0.04
"scaling[43]",0.24,0.47,0.36,0.04
"scaling[44]",0.28,0.51,0.39,0.04
"scaling[45]",0.26,0.47,0.37,0.04
"scaling[46]",0.24,0.46,0.35,0.04
"scaling[47]",0.25,0.47,0.36,0.04
"scaling[48]",0.26,0.47,0.36,0.04
"scaling[49]",0.26,0.47,0.36,0.04
"scaling[50]",0.26,0.47,0.36,0.04
"scaling[51]",0.26,0.47,0.36,0.04
"scaling0",0.27,0.47,0.36,0.04
"sd0",0,0.36,0.19,0.08
"sd1",0,0.04,0.02,0.01
"sigma_pop",0.62,1.14,0.85,0.1
"size",3.08,6.44,4.39,0.65
